warning: No library characterized for (process = 1.00 voltage = 0.85 temperature = -40.00) can be found in the database for power domain '/PD_TOP'  [NL-174]
Report Power (instances with prefix '*' are included in total) : 
-----+----------+--------------------+---------------------+-------------------+-----------------
     | Instance | Internal Power(uw) | Switching Power(uw) | Leakage Power(uw) | Total Power(uw) 
173  |*i_0_0_138|            0.501530|             0.953713|           0.005012|         1.460255
174  |*i_0_0_139|            0.854405|             1.848544|           0.008128|         2.711077
175  |*i_0_0_140|            0.789749|             1.927804|           0.008593|         2.726145
176  |*i_0_0_141|            0.385415|             2.187148|           0.005012|         2.577575
177  |*i_0_0_142|            0.785768|             1.817327|           0.008593|         2.611688
178  |*i_0_0_143|            0.254685|             0.742491|           0.002775|         0.999951
179  |*i_0_0_144|            0.368707|             4.859309|           0.005012|         5.233028
180  |*i_0_0_145|            0.388748|             1.391969|           0.005012|         1.785730
181  |*i_0_0_146|            0.388748|             1.391969|           0.005012|         1.785730
182  |*i_0_0_147|            0.388748|             1.391969|           0.005012|         1.785730
183  |*i_0_0_148|            0.388748|             1.391969|           0.005012|         1.785730
184  |*i_0_0_149|            0.388748|             1.391969|           0.005012|         1.785730
185  |*i_0_0_150|            0.388748|             1.391969|           0.005012|         1.785730
186  |*i_0_0_151|            0.388748|             1.391969|           0.005012|         1.785730
187  |*i_0_0_152|            0.388748|             1.391969|           0.005012|         1.785730
188  |*i_0_0_153|            0.388748|             1.391969|           0.005012|         1.785730
189  |*i_0_0_154|            0.388748|             1.391969|           0.005012|         1.785730
190  |*i_0_0_155|            0.388748|             1.391969|           0.005012|         1.785730
191  |*i_0_0_156|            0.376319|             1.391969|           0.005012|         1.773300
192  |*i_0_0_157|            0.791073|             0.880363|           0.008128|         1.679564
193  |*i_0_0_158|            0.335825|             4.797605|           0.002775|         5.136205
194  |*i_0_0_159|            0.634971|             5.429889|           0.006839|         6.071700
195  |*i_0_0_160|            1.244319|             3.347150|           0.007821|         4.599290
196  |*i_0_0_161|            1.030691|             2.500006|           0.007821|         3.538518
197  |*i_0_0_162|            0.628181|             0.878403|           0.006839|         1.513423
198  |*i_0_0_163|            1.076502|             2.467914|           0.008181|         3.552598
199  |*i_0_0_164|            0.629611|             0.956390|           0.006839|         1.592840
200  |*i_0_0_165|            1.028342|             3.773387|           0.007821|         4.809549
